layer,cs_fr_error_mean,cs_fr_error_std,cs_hi_error_mean,cs_hi_error_std,n_fr,n_hi
0,0.38531645840114065,0.1804321066562034,0.49760093837528974,0.16192588363150195,999,999
1,8.801426380126923,7.803754860652678,8.810768269442462,7.798657688691808,999,999
2,8.81549512588226,7.800265827402036,8.837808014274955,7.788965442557183,999,999
3,8.848597019642323,7.797274772392811,8.89758531777589,7.775384128701832,999,999
4,8.887584613966155,7.791235959734767,8.978847890048176,7.751791557671374,999,999
5,8.928856525096569,7.786824034079441,9.076537024151456,7.7362470964457275,999,999
6,8.98641983095232,7.782022171228448,9.191991613911199,7.714017152027894,999,999
7,9.043841930719706,7.78045951308885,9.265995982411626,7.700365619834242,999,999
8,9.090383717963645,7.777955401028399,9.334615478525171,7.694521939545117,999,999
9,9.121634869723469,7.766446558538607,9.395710645853221,7.669982944666782,999,999
10,9.185022348875517,7.792177501012177,9.503565400689691,7.695360453765451,999,999
11,9.19009446859121,7.789353379012266,9.512610494672835,7.693854901039946,999,999
12,9.224934946190011,7.786468685204573,9.590191451636878,7.6903630061403065,999,999
13,9.28902275664909,7.774543022441685,9.68242396726026,7.674245074910022,999,999
14,9.362518992151942,7.769792804212049,9.860576551359099,7.647693137418734,999,999
15,9.500298755424279,7.760837329367382,10.067821222024637,7.622403006353336,999,999
16,9.706984800619406,7.740469357191971,10.384375191784954,7.574881694723855,999,999
17,10.01788846651713,7.710548857340623,10.785538790820238,7.526086542988603,999,999
18,10.263765856787726,7.695364010471542,11.109318092181995,7.479226490472122,999,999
19,10.578986657632363,7.66882803312192,11.555421649276077,7.422871231050517,999,999
20,10.858516047308752,7.649487318183617,11.834413673545983,7.385629784244651,999,999
21,11.442970066815167,7.590680005187572,12.730734965942046,7.2680350418600685,999,999
22,11.866389359559145,7.541857006526794,13.269280562052378,7.196102258779915,999,999
23,12.490102748851758,7.467452954603975,14.060778194958264,7.094185321577655,999,999
24,13.201704844817504,7.405489506063757,15.040156443675121,6.986922598342953,999,999
25,13.849084161542677,7.351037224048713,15.84178722656525,6.91192850347659,999,999
26,15.207943887681932,7.194656666075158,17.39539518346777,6.7318404091254544,999,999
27,16.185603832936025,7.14811965869807,18.74644760517506,6.620896589230298,999,999
28,17.210293644780034,7.132573212079549,19.986303832557226,6.534096719600005,999,999
29,18.49281973929496,7.145087280836403,23.315855325043977,6.443323697488903,999,999
30,21.245998866565234,7.021372918993862,28.41644026304747,5.9360794749044254,999,999
31,29.026374363445782,4.938597750469768,43.165639713123156,3.860099115010849,999,999
