layer,cs_fr_dist_mean,cs_fr_dist_std,cs_hi_dist_mean,cs_hi_dist_std,french_dist_mean,french_dist_std,hindi_dist_mean,hindi_dist_std,n
0,2.978995046935401,0.7515103312607057,5.77504334053597,0.6508665900618402,3.551889411202661,0.7255998423622676,6.089009331272648,0.6115677421067953,999
1,3.988824691381063,1.0947134029492114,7.468307424474646,1.3356909929250147,4.650896478820969,1.0797980631519466,7.898604643118155,1.1870646730755914,999
2,5.275718722138199,1.3147181812048248,10.18047072722747,1.2455623872244554,6.03202734480391,1.2820193991659459,10.751777915267256,1.1349626406091426,999
3,41.73351901668209,50.810391167418636,129.66831127563873,158.66256777089308,55.03145587241447,64.63120888160279,134.1819647864417,136.61188284566884,999
4,46.721367377776645,57.5839516342215,147.1505308046236,180.34199085402636,61.66560950579944,73.31269176046901,152.3548730061696,155.17201901813004,999
5,47.76283060442339,58.56803786048388,151.9183920229281,183.50016857604044,63.070254447104574,74.55741945814053,157.28556885972276,157.78825519524628,999
6,49.642636585521984,59.509515914939875,158.021645220431,186.22107046775193,65.36265687780218,75.69832348933589,163.63406449586182,160.05720167727745,999
7,50.38125102775352,60.00963623413409,160.02334137650223,188.00545890048465,65.95005319116113,76.331089594207,165.611954441777,161.46317100619677,999
8,50.708027314614725,60.45662373710566,160.69822348631897,189.23044234451143,66.30327346637561,76.89199005999349,166.3317154167412,162.55215233277042,999
9,51.5384778270015,61.32315127234023,163.48376961441727,191.77862526931858,67.39465531071384,77.9329845296582,169.21470037618795,164.67822814540406,999
10,51.63794598087773,61.33030928162604,163.5284233360558,192.60591405044693,67.32748038012225,78.19202655388844,169.0391142332518,165.42462533448608,999
11,52.388873942263494,62.23876378761838,165.98301803123007,195.42486443643884,68.13075996376014,79.36356839990177,171.55301033149848,167.86923969721678,999
12,52.87181961357415,63.04209049313496,167.9335099698545,197.9840073404812,69.15208854045238,80.35646218739826,173.77766020185834,170.02586608333354,999
13,53.262814252584185,63.16686913503912,168.17735600590825,198.62716377287032,69.35389597399218,80.5745234017767,173.81474141530447,170.57969919252702,999
14,53.34195569088986,63.281931375868496,168.3472359707883,198.91394926156673,69.61636942977066,80.78528020683599,174.18884646212373,170.74015100322924,999
15,53.76506966561288,63.33426882741269,170.23670860954948,199.24913373987627,69.87666438601993,80.88935217195304,176.02071525336981,171.0915377200387,999
16,53.72638783345113,63.300868760198625,169.76112331356015,199.19347239140032,70.16518715504291,80.82433977564493,175.6083463644003,170.97993423191375,999
17,54.367057261882245,63.39927387946342,170.78602012046227,199.34382351635077,70.61557471167457,80.89029758938405,176.61545469572354,171.12051725347638,999
18,54.13864122568308,63.162536977481366,171.7290061095336,199.1161674479245,70.22403160492341,80.63837694774963,177.63120123908087,170.83891637319704,999
19,58.304250258941195,62.46142572985601,174.7909064727264,197.9505151434861,74.9373518683173,79.99696996524125,180.8820178210437,169.4688759239107,999
20,60.84529615331579,61.57553352721066,177.11048646684404,195.87655883063883,77.39793457665124,78.8111683200632,183.28827915058002,167.50926310703218,999
21,66.71505859115341,60.882739305829574,180.72140644214772,194.14556049032248,84.36527689799175,77.94467192748066,187.01983318767986,165.62854315741941,999
22,74.43930587348518,60.127833081472126,191.42499533835593,191.96830673413248,93.23795363662002,76.96005729324153,198.25805476955227,163.23618445131632,999
23,89.9490267053858,58.625618205793586,214.67437867860536,188.3708496364587,112.87713704954038,74.66236026462803,222.88422521337256,159.54951068543758,999
24,111.22738675336103,56.173597231973844,244.87629572932306,182.60198418506448,139.31401256756024,70.90734197236272,254.57754435649028,153.59150923709322,999
25,139.7825323072401,54.16320202534521,257.66663756957644,176.09251711300922,177.11580221884483,66.47153723057862,268.43102072714805,147.2554525180813,999
26,161.73489798392143,28.47403150039537,223.340472613727,53.74783965365162,205.18260969557204,26.54105311990709,234.74999265317564,43.14835168675487,999
27,344.6235047455903,61.721478765005045,460.62848215036325,60.6437001335789,417.4488158354888,49.41825939353425,490.58665226505804,55.226417743721655,999
