layer,cosine_mean,cosine_std,n
0,0.5624596955957594,0.04077096972748708,999
1,0.8372880231749427,0.02197132292932015,999
2,0.510310785928825,0.061981314620465446,999
3,0.9941168727578821,0.002954311877150502,999
4,0.8483369541955782,0.06895491923776917,999
5,0.5782238536470525,0.08186050197342508,999
6,0.27214054323741477,0.1743923603244606,999
7,0.3877411347937894,0.05726073484124743,999
8,0.5089104177954199,0.07225701662896362,999
9,0.5682660356775537,0.06588746563596218,999
10,0.5377264100539911,0.06902463746757177,999
11,0.49245122414421627,0.11944361944913112,999
12,0.4154803340221421,0.17849920533470073,999
13,0.577263350631143,0.0809470443176707,999
14,0.4710868460996015,0.07730856703117742,999
15,0.46248199097864384,0.09726181330325775,999
16,0.4632465549566605,0.09511529332089447,999
17,0.46402905625034796,0.11955139426339415,999
18,0.4213328249186177,0.14319240430708655,999
19,0.4267145669063529,0.08163787140334544,999
20,0.3681664904197296,0.057378298979303945,999
21,0.3962579877288253,0.056901997120534495,999
22,0.45515620116949884,0.05458810192154288,999
23,0.5340894358391101,0.054020164521413526,999
24,0.3790654295885766,0.055661904857538115,999
25,0.5017885586864,0.05944600212590638,999
26,0.2964327691702752,0.1278595782856287,999
27,-0.09699774037504026,0.09887587656255775,999
